t_epoch,robot,topic
1786642152.721372,2,scan
1786642152.755955,2,camera
1786642152.769063,1,scan
1786642152.775021,3,camera
1786642152.776184,1,camera
1786642152.777866,3,scan
1786642152.821296,2,scan
1786642152.846411,2,camera
1786642152.866184,1,camera
1786642152.869045,1,scan
1786642152.878583,3,scan
1786642152.879183,3,camera
1786642152.921238,2,scan
1786642152.956009,2,camera
1786642152.968933,1,scan
1786642152.971061,1,camera
1786642152.974189,3,camera
1786642152.978595,3,scan
1786642153.022313,2,scan
1786642153.067209,2,camera
1786642153.070539,1,scan
1786642153.075239,1,camera
1786642153.078442,3,scan
1786642153.090909,3,camera
1786642153.121883,2,scan
1786642153.160363,2,camera
1786642153.163112,1,camera
1786642153.169075,1,scan
1786642153.170111,3,camera
1786642153.177471,3,scan
1786642153.221456,2,scan
1786642153.257469,2,camera
1786642153.267987,3,camera
1786642153.268252,1,scan
1786642153.270831,1,camera
1786642153.277574,3,scan
1786642153.321385,2,scan
1786642153.364884,2,camera
1786642153.368989,1,scan
1786642153.378371,3,scan
1786642153.379991,1,camera
1786642153.383692,3,camera
1786642153.421247,2,scan
1786642153.456371,2,camera
1786642153.467720,1,camera
1786642153.468793,1,scan
1786642153.471746,3,camera
1786642153.477981,3,scan
1786642153.520684,2,scan
1786642153.556234,2,camera
1786642153.565605,3,camera
1786642153.568282,1,scan
1786642153.571484,1,camera
1786642153.577409,3,scan
1786642153.620717,2,scan
1786642153.651479,2,camera
1786642153.667393,1,camera
1786642153.668504,1,scan
1786642153.674672,3,camera
1786642153.677647,3,scan
1786642153.721423,2,scan
1786642153.751591,2,camera
1786642153.768730,1,scan
1786642153.772878,1,camera
1786642153.778020,3,scan
1786642153.782498,3,camera
1786642153.820919,2,scan
1786642153.856240,2,camera
1786642153.869110,1,scan
1786642153.873771,1,camera
1786642153.878080,3,scan
1786642153.878515,3,camera
1786642153.921166,2,scan
1786642153.952504,2,camera
1786642153.963822,1,camera
1786642153.967996,3,camera
1786642153.968374,1,scan
1786642153.977768,3,scan
1786642154.022552,2,scan
1786642154.069609,1,scan
1786642154.078616,3,scan
1786642154.079937,2,camera
1786642154.099748,1,camera
1786642154.109975,3,camera
1786642154.121303,2,scan
1786642154.147561,2,camera
1786642154.164246,1,camera
1786642154.167904,3,camera
1786642154.168432,1,scan
1786642154.177507,3,scan
1786642154.221516,2,scan
1786642154.247713,2,camera
1786642154.269443,1,scan
1786642154.276903,1,camera
1786642154.277725,3,camera
1786642154.278240,3,scan
1786642154.321234,2,scan
1786642154.356158,2,camera
1786642154.368931,1,scan
1786642154.373129,1,camera
1786642154.377970,3,scan
1786642154.393972,3,camera
1786642154.421204,2,scan
1786642154.455558,2,camera
1786642154.468948,1,scan
1786642154.470361,1,camera
1786642154.478527,3,scan
1786642154.483994,3,camera
1786642154.521323,2,scan
1786642154.555626,2,camera
1786642154.568858,1,scan
1786642154.574234,1,camera
1786642154.577804,3,scan
1786642154.578471,3,camera
1786642154.621557,2,scan
1786642154.656283,2,camera
1786642154.669438,1,scan
1786642154.672436,1,camera
1786642154.678110,3,scan
1786642154.684208,3,camera
1786642154.721490,2,scan
1786642154.756126,2,camera
1786642154.769597,1,scan
1786642154.772458,1,camera
1786642154.777898,3,camera
1786642154.778423,3,scan
1786642154.821247,2,scan
1786642154.856811,2,camera
1786642154.868771,1,scan
1786642154.874213,1,camera
1786642154.878083,3,scan
1786642154.883417,3,camera
1786642154.921222,2,scan
1786642154.955675,2,camera
1786642154.969304,1,scan
1786642154.971378,1,camera
1786642154.978112,3,scan
1786642154.980582,3,camera
1786642155.022691,2,scan
1786642155.071677,1,scan
1786642155.078126,3,scan
1786642155.078927,2,camera
1786642155.080971,1,camera
1786642155.084408,3,camera
1786642155.120714,2,scan
1786642155.147829,2,camera
1786642155.163706,1,camera
1786642155.169452,1,scan
1786642155.176669,3,camera
1786642155.177954,3,scan
1786642155.221877,2,scan
1786642155.246646,2,camera
1786642155.269420,1,scan
1786642155.270072,1,camera
1786642155.274908,3,camera
1786642155.278419,3,scan
1786642155.321271,2,scan
1786642155.357854,2,camera
1786642155.369046,1,scan
1786642155.372068,1,camera
1786642155.377471,3,camera
1786642155.377984,3,scan
1786642155.421297,2,scan
1786642155.460149,2,camera
1786642155.468943,1,scan
1786642155.470417,1,camera
1786642155.478099,3,scan
1786642155.484242,3,camera
1786642155.521303,2,scan
1786642155.555556,2,camera
1786642155.568866,1,scan
1786642155.570092,1,camera
1786642155.577866,3,scan
1786642155.595166,3,camera
1786642155.621254,2,scan
1786642155.656342,2,camera
1786642155.669270,1,scan
1786642155.670471,1,camera
1786642155.678204,3,scan
1786642155.684199,3,camera
1786642155.721466,2,scan
1786642155.757593,2,camera
1786642155.769164,1,scan
1786642155.772579,1,camera
1786642155.775535,3,camera
1786642155.777568,3,scan
1786642155.821303,2,scan
1786642155.855328,2,camera
1786642155.868985,1,scan
1786642155.870728,1,camera
1786642155.876548,3,camera
1786642155.878326,3,scan
1786642155.921282,2,scan
1786642155.955322,2,camera
1786642155.969251,1,scan
1786642155.970198,1,camera
1786642155.975404,3,camera
1786642155.978373,3,scan
1786642156.023344,2,scan
1786642156.063947,2,camera
1786642156.072296,1,scan
1786642156.078208,3,scan
1786642156.078644,3,camera
1786642156.101967,1,camera
1786642156.121307,2,scan
1786642156.153477,2,camera
1786642156.163854,1,camera
1786642156.166840,3,camera
1786642156.168617,1,scan
1786642156.177509,3,scan
1786642156.220959,2,scan
1786642156.249146,2,camera
1786642156.269222,1,scan
1786642156.269811,1,camera
1786642156.275876,3,camera
1786642156.277756,3,scan
1786642156.321935,2,scan
1786642156.355241,2,camera
1786642156.368973,1,scan
1786642156.369894,1,camera
1786642156.374240,3,camera
1786642156.377908,3,scan
1786642156.421563,2,scan
1786642156.455206,2,camera
1786642156.469489,1,scan
1786642156.476558,3,camera
1786642156.478438,3,scan
1786642156.479599,1,camera
1786642156.521426,2,scan
1786642156.556538,2,camera
1786642156.568856,1,scan
1786642156.570425,1,camera
1786642156.574131,3,camera
1786642156.577846,3,scan
1786642156.621291,2,scan
1786642156.655549,2,camera
1786642156.668889,1,scan
1786642156.669823,1,camera
1786642156.677880,3,scan
1786642156.694334,3,camera
1786642156.721374,2,scan
1786642156.755408,2,camera
1786642156.768728,1,scan
1786642156.769452,1,camera
1786642156.777989,3,scan
1786642156.798075,3,camera
1786642156.821245,2,scan
1786642156.851796,2,camera
1786642156.869605,1,scan
1786642156.870256,1,camera
1786642156.878032,3,scan
1786642156.878590,3,camera
1786642156.921295,2,scan
1786642156.955726,2,camera
1786642156.969530,1,scan
1786642156.970629,1,camera
1786642156.975042,3,camera
1786642156.978576,3,scan
1786642157.026211,2,scan
1786642157.063800,2,camera
1786642157.069559,1,scan
1786642157.078537,3,scan
1786642157.079202,3,camera
1786642157.085636,1,camera
1786642157.121774,2,scan
1786642157.158028,2,camera
1786642157.163338,1,camera
1786642157.165776,3,camera
1786642157.168299,1,scan
1786642157.177740,3,scan
1786642157.220772,2,scan
1786642157.246254,2,camera
1786642157.269071,1,scan
1786642157.272350,3,camera
1786642157.275948,1,camera
1786642157.277517,3,scan
1786642157.321512,2,scan
1786642157.355859,2,camera
1786642157.369206,1,scan
1786642157.371302,1,camera
1786642157.375931,3,camera
1786642157.378163,3,scan
1786642157.421529,2,scan
1786642157.455817,2,camera
1786642157.469373,1,scan
1786642157.470546,1,camera
1786642157.477936,3,scan
1786642157.482037,3,camera
1786642157.521285,2,scan
1786642157.556239,2,camera
1786642157.569387,1,scan
1786642157.577289,3,camera
1786642157.577910,3,scan
1786642157.580762,1,camera
1786642157.621431,2,scan
1786642157.655591,2,camera
1786642157.669588,1,scan
1786642157.671431,1,camera
1786642157.675938,3,camera
1786642157.678134,3,scan
1786642157.721495,2,scan
1786642157.755901,2,camera
1786642157.769456,1,scan
1786642157.776917,3,camera
1786642157.778510,3,scan
1786642157.779610,1,camera
1786642157.821586,2,scan
1786642157.855960,2,camera
1786642157.870314,1,scan
1786642157.874447,3,camera
1786642157.875464,1,camera
1786642157.878286,3,scan
1786642157.921243,2,scan
1786642157.955451,2,camera
1786642157.969046,1,scan
1786642157.970579,1,camera
1786642157.978499,3,scan
1786642157.984158,3,camera
1786642158.021783,2,scan
1786642158.059628,2,camera
1786642158.069569,1,scan
1786642158.078537,3,scan
1786642158.084083,3,camera
1786642158.084896,1,camera
1786642158.121681,2,scan
1786642158.153546,2,camera
1786642158.163350,1,camera
1786642158.168669,1,scan
1786642158.171753,3,camera
1786642158.177863,3,scan
1786642158.220852,2,scan
1786642158.264012,2,camera
1786642158.268431,1,scan
1786642158.273853,3,camera
1786642158.278042,3,scan
1786642158.280293,1,camera
1786642158.321826,2,scan
1786642158.347639,2,camera
1786642158.363997,1,camera
1786642158.368312,3,camera
1786642158.368939,1,scan
1786642158.378034,3,scan
1786642158.421336,2,scan
1786642158.457830,2,camera
1786642158.468959,1,scan
1786642158.471929,1,camera
1786642158.477229,3,camera
1786642158.478261,3,scan
1786642158.521195,2,scan
1786642158.555569,2,camera
1786642158.568918,1,scan
1786642158.570380,1,camera
1786642158.578151,3,scan
1786642158.583658,3,camera
1786642158.621286,2,scan
1786642158.655332,2,camera
1786642158.669068,1,scan
1786642158.670583,1,camera
1786642158.674163,3,camera
1786642158.678837,3,scan
1786642158.721522,2,scan
1786642158.755382,2,camera
1786642158.769746,1,scan
1786642158.771461,1,camera
1786642158.775150,3,camera
1786642158.778563,3,scan
1786642158.821520,2,scan
1786642158.855528,2,camera
1786642158.869624,1,scan
1786642158.870807,1,camera
1786642158.874123,3,camera
1786642158.878640,3,scan
1786642158.921548,2,scan
1786642158.955575,2,camera
1786642158.969450,1,scan
1786642158.970463,1,camera
1786642158.977125,3,camera
1786642158.977885,3,scan
1786642159.021475,2,scan
1786642159.065163,2,camera
1786642159.070065,1,scan
1786642159.080246,3,scan
1786642159.083562,1,camera
1786642159.095918,3,camera
1786642159.121601,2,scan
1786642159.154378,2,camera
1786642159.167676,3,camera
1786642159.168322,1,scan
1786642159.172186,1,camera
1786642159.177456,3,scan
1786642159.220963,2,scan
1786642159.251254,2,camera
1786642159.268533,1,scan
1786642159.271793,1,camera
1786642159.278414,3,scan
1786642159.284803,3,camera
1786642159.321360,2,scan
1786642159.359167,2,camera
1786642159.369647,1,scan
1786642159.370967,1,camera
1786642159.373863,3,camera
1786642159.377945,3,scan
1786642159.421515,2,scan
1786642159.453143,2,camera
1786642159.469118,1,scan
1786642159.469572,1,camera
1786642159.476985,3,camera
1786642159.477456,3,scan
1786642159.521325,2,scan
1786642159.555397,2,camera
1786642159.569074,1,scan
1786642159.570260,1,camera
1786642159.577979,3,scan
1786642159.586105,3,camera
