t_epoch,robot,topic
1786641844.895338,1,scan
1786641844.896394,2,scan
1786641844.917607,2,camera
1786641844.919627,3,scan
1786641844.932162,3,camera
1786641844.989717,1,camera
1786641844.995412,1,scan
1786641844.996246,2,scan
1786641845.009109,2,camera
1786641845.020872,3,scan
1786641845.045486,3,camera
1786641845.095420,1,scan
1786641845.096375,2,scan
1786641845.114769,2,camera
1786641845.120170,3,scan
1786641845.135220,3,camera
1786641845.185135,1,camera
1786641845.191852,1,camera
1786641845.194534,1,scan
1786641845.194818,2,scan
1786641845.199927,2,camera
1786641845.220259,3,scan
1786641845.230646,3,camera
1786641845.294199,1,camera
1786641845.295319,1,scan
1786641845.295468,2,scan
1786641845.308967,2,camera
1786641845.319969,3,scan
1786641845.332631,3,camera
1786641845.392024,1,camera
1786641845.395221,2,scan
1786641845.395838,1,scan
1786641845.409745,2,camera
1786641845.420088,3,scan
1786641845.428134,3,camera
1786641845.489319,1,camera
1786641845.495203,2,scan
1786641845.495837,1,scan
1786641845.515922,2,camera
1786641845.520120,3,scan
1786641845.532858,3,camera
1786641845.589809,1,camera
1786641845.595299,1,scan
1786641845.595572,2,scan
1786641845.608809,2,camera
1786641845.619680,3,scan
1786641845.630608,3,camera
1786641845.689925,1,camera
1786641845.695120,1,scan
1786641845.695687,2,scan
1786641845.708835,2,camera
1786641845.719950,3,scan
1786641845.730656,3,camera
1786641845.790495,1,camera
1786641845.794981,1,scan
1786641845.795562,2,scan
1786641845.808499,2,camera
1786641845.819843,3,scan
1786641845.831109,3,camera
1786641845.892591,1,camera
1786641845.894436,1,scan
1786641845.895415,2,scan
1786641845.908947,2,camera
1786641845.920047,3,scan
1786641845.930483,3,camera
1786641845.992075,1,camera
1786641845.995393,1,scan
1786641845.996608,2,scan
1786641846.008932,2,camera
1786641846.021410,3,scan
1786641846.042073,3,camera
1786641846.096126,2,scan
1786641846.096818,1,scan
1786641846.108292,2,camera
1786641846.120506,3,scan
1786641846.144458,3,camera
1786641846.190308,1,camera
1786641846.193880,1,camera
1786641846.194917,1,scan
1786641846.195780,2,scan
1786641846.200882,2,camera
1786641846.219773,3,scan
1786641846.229004,3,camera
1786641846.293199,1,camera
1786641846.294604,1,scan
1786641846.294827,2,scan
1786641846.302095,2,camera
1786641846.319764,3,scan
1786641846.327304,3,camera
1786641846.389133,1,camera
1786641846.394892,1,scan
1786641846.395364,2,scan
1786641846.406392,2,camera
1786641846.419556,3,scan
1786641846.432033,3,camera
1786641846.489783,1,camera
1786641846.495595,1,scan
1786641846.496848,2,scan
1786641846.509165,2,camera
1786641846.519617,3,scan
1786641846.526000,3,camera
1786641846.590313,1,camera
1786641846.594722,1,scan
1786641846.595259,2,scan
1786641846.600141,2,camera
1786641846.619452,3,scan
1786641846.622382,3,camera
1786641846.683532,1,camera
1786641846.694475,1,scan
1786641846.694826,2,scan
1786641846.699636,2,camera
1786641846.719571,3,scan
1786641846.728606,3,camera
1786641846.790170,1,camera
1786641846.795180,2,scan
1786641846.795773,1,scan
1786641846.809312,2,camera
1786641846.820144,3,scan
1786641846.830415,3,camera
1786641846.887932,1,camera
1786641846.894372,1,scan
1786641846.894579,2,scan
1786641846.899326,2,camera
1786641846.919831,3,scan
1786641846.926276,3,camera
1786641846.989664,1,camera
1786641846.995096,2,scan
1786641846.995641,1,scan
1786641847.008354,2,camera
1786641847.020550,3,scan
1786641847.037869,3,camera
1786641847.088185,1,camera
1786641847.094815,1,scan
1786641847.095333,2,scan
1786641847.106916,2,camera
1786641847.119409,3,scan
1786641847.183186,1,camera
1786641847.194893,2,scan
1786641847.195262,1,scan
1786641847.203247,2,camera
1786641847.219284,3,scan
1786641847.234689,3,camera
1786641847.239435,3,camera
1786641847.285262,1,camera
1786641847.295479,1,scan
1786641847.296806,2,scan
1786641847.309174,2,camera
1786641847.320598,3,scan
1786641847.334461,3,camera
1786641847.390425,1,camera
1786641847.395346,1,scan
1786641847.395976,2,scan
1786641847.409792,2,camera
1786641847.420053,3,scan
1786641847.433450,3,camera
1786641847.495392,1,scan
1786641847.495793,2,scan
1786641847.501734,2,camera
1786641847.519352,3,scan
1786641847.522452,3,camera
1786641847.589659,1,camera
1786641847.594994,1,scan
1786641847.595793,2,scan
1786641847.598716,1,camera
1786641847.602703,2,camera
1786641847.619474,3,scan
1786641847.621325,3,camera
1786641847.681983,1,camera
1786641847.694602,1,scan
1786641847.694947,2,scan
1786641847.701480,2,camera
1786641847.719474,3,scan
1786641847.723257,3,camera
1786641847.795286,1,scan
1786641847.795969,2,scan
1786641847.806336,2,camera
1786641847.819731,3,scan
1786641847.830540,3,camera
1786641847.893234,1,camera
1786641847.895078,1,scan
1786641847.895655,2,scan
1786641847.912667,2,camera
