t_epoch,robot,topic
1786641848.830316,3,camera
1786641848.894802,2,scan
1786641848.895295,1,scan
1786641848.896979,1,camera
1786641848.908919,2,camera
1786641848.919334,3,scan
1786641848.930678,3,camera
1786641848.989806,1,camera
1786641848.994772,1,scan
1786641848.994782,2,scan
1786641849.019531,2,camera
1786641849.019765,3,scan
1786641849.050094,3,camera
1786641849.095209,2,scan
1786641849.095596,1,scan
1786641849.105182,1,camera
1786641849.119550,3,scan
1786641849.181378,1,camera
1786641849.194725,1,scan
1786641849.194988,2,scan
1786641849.218470,2,camera
1786641849.220390,3,scan
1786641849.226714,2,camera
1786641849.290229,1,camera
1786641849.294572,1,scan
1786641849.294842,2,scan
1786641849.304353,2,camera
1786641849.319330,3,scan
1786641849.379876,1,camera
1786641849.394177,1,scan
1786641849.394335,2,scan
1786641849.400257,2,camera
1786641849.418931,3,scan
1786641849.430857,3,camera
1786641849.433570,3,camera
1786641849.436554,3,camera
1786641849.442743,3,camera
1786641849.480111,1,camera
1786641849.494324,1,scan
1786641849.494395,2,scan
1786641849.499160,2,camera
1786641849.519175,3,scan
1786641849.528209,3,camera
1786641849.589883,1,camera
1786641849.594665,1,scan
1786641849.594997,2,scan
1786641849.608642,2,camera
1786641849.619324,3,scan
1786641849.630503,3,camera
1786641849.689728,1,camera
1786641849.694744,1,scan
1786641849.694809,2,scan
1786641849.708717,2,camera
1786641849.719359,3,scan
1786641849.729076,3,camera
1786641849.791423,1,camera
1786641849.794646,1,scan
1786641849.794820,2,scan
1786641849.808522,2,camera
1786641849.819390,3,scan
1786641849.830078,3,camera
1786641849.889624,1,camera
1786641849.894605,1,scan
1786641849.894817,2,scan
1786641849.908952,2,camera
1786641849.919355,3,scan
1786641849.930717,3,camera
1786641849.992493,1,camera
1786641849.994753,1,scan
1786641849.994815,2,scan
1786641850.008905,2,camera
1786641850.019422,3,scan
1786641850.039605,3,camera
1786641850.089386,1,camera
1786641850.094984,2,scan
1786641850.094992,1,scan
1786641850.111423,2,camera
1786641850.119541,3,scan
1786641850.132541,3,camera
1786641850.183169,1,camera
1786641850.194633,1,scan
1786641850.194707,2,scan
1786641850.207370,2,camera
1786641850.219284,3,scan
1786641850.226493,3,camera
1786641850.290253,1,camera
1786641850.294730,1,scan
1786641850.294784,2,scan
1786641850.308389,2,camera
1786641850.319870,3,scan
1786641850.329016,3,camera
1786641850.388987,1,camera
1786641850.394938,2,scan
1786641850.395127,1,scan
1786641850.407599,2,camera
1786641850.419569,3,scan
1786641850.437915,3,camera
1786641850.484834,1,camera
1786641850.494539,1,scan
1786641850.494575,2,scan
1786641850.504162,2,camera
1786641850.519213,3,scan
1786641850.524296,3,camera
1786641850.591051,1,camera
1786641850.594791,1,scan
1786641850.595085,2,scan
1786641850.604556,2,camera
1786641850.619414,3,scan
1786641850.632737,3,camera
1786641850.694391,1,scan
1786641850.694520,2,scan
1786641850.704047,2,camera
1786641850.719084,3,scan
1786641850.723553,3,camera
1786641850.785803,1,camera
1786641850.790826,1,camera
1786641850.794441,1,scan
1786641850.794762,2,scan
1786641850.805669,2,camera
1786641850.819121,3,scan
1786641850.823750,3,camera
1786641850.884188,1,camera
1786641850.894479,1,scan
1786641850.894919,2,scan
1786641850.906294,2,camera
1786641850.919203,3,scan
1786641850.923429,3,camera
1786641850.988502,1,camera
1786641850.994315,1,scan
1786641850.994585,2,scan
1786641851.000909,2,camera
1786641851.019850,3,scan
1786641851.038907,3,camera
1786641851.094616,1,scan
1786641851.094791,2,scan
1786641851.105553,2,camera
1786641851.119287,3,scan
1786641851.126920,3,camera
1786641851.195111,2,scan
1786641851.196047,1,scan
1786641851.204371,1,camera
1786641851.212138,1,camera
1786641851.219084,3,scan
1786641851.224313,3,camera
1786641851.290457,1,camera
1786641851.294662,1,scan
1786641851.294848,2,scan
1786641851.315300,2,camera
1786641851.319274,3,scan
1786641851.321000,2,camera
1786641851.325248,3,camera
1786641851.391303,1,camera
1786641851.394564,1,scan
1786641851.394940,2,scan
1786641851.409846,2,camera
1786641851.419324,3,scan
1786641851.430248,3,camera
1786641851.489657,1,camera
1786641851.494734,1,scan
1786641851.495136,2,scan
1786641851.512381,2,camera
1786641851.519365,3,scan
1786641851.530376,3,camera
1786641851.589710,1,camera
1786641851.594770,1,scan
1786641851.594833,2,scan
1786641851.609521,2,camera
1786641851.619772,3,scan
1786641851.630771,3,camera
1786641851.689574,1,camera
1786641851.694810,2,scan
1786641851.694997,1,scan
1786641851.708850,2,camera
1786641851.719386,3,scan
1786641851.738531,3,camera
1786641851.789790,1,camera
1786641851.794748,1,scan
1786641851.794835,2,scan
1786641851.809286,2,camera
1786641851.819311,3,scan
1786641851.830965,3,camera
1786641851.894761,1,scan
1786641851.894999,2,scan
1786641851.908667,2,camera
1786641851.919338,3,scan
1786641851.931288,3,camera
1786641851.994624,1,scan
1786641851.995168,2,scan
1786641852.011423,2,camera
1786641852.020111,3,scan
1786641852.039070,3,camera
1786641852.089790,1,camera
1786641852.094425,1,scan
1786641852.094562,2,scan
1786641852.094592,1,camera
1786641852.099286,1,camera
1786641852.101626,2,camera
1786641852.119245,3,scan
