t_epoch,robot,topic
1786642150.877106,3,scan
1786642150.920838,2,scan
1786642150.954624,2,camera
1786642150.968588,1,scan
1786642150.969048,1,camera
1786642150.973276,3,camera
1786642150.977379,3,scan
1786642151.021259,2,scan
1786642151.068884,1,scan
1786642151.068907,2,camera
1786642151.077777,3,scan
1786642151.079328,1,camera
1786642151.094384,3,camera
1786642151.120701,2,scan
1786642151.150231,2,camera
1786642151.161176,1,camera
1786642151.165723,3,camera
1786642151.168294,1,scan
1786642151.177469,3,scan
1786642151.220922,2,scan
1786642151.261773,2,camera
1786642151.262542,1,camera
1786642151.266964,3,camera
1786642151.268083,1,scan
1786642151.277502,3,scan
1786642151.320648,2,scan
1786642151.349866,2,camera
1786642151.368721,1,scan
1786642151.369513,1,camera
1786642151.377807,3,scan
1786642151.383357,3,camera
1786642151.420882,2,scan
1786642151.454967,2,camera
1786642151.468464,1,scan
1786642151.471556,1,camera
1786642151.477513,3,scan
1786642151.484626,3,camera
1786642151.520967,2,scan
1786642151.554910,2,camera
1786642151.568656,1,scan
1786642151.569541,1,camera
1786642151.577183,3,scan
1786642151.577220,3,camera
1786642151.620990,2,scan
1786642151.662584,2,camera
1786642151.666792,1,camera
1786642151.668629,1,scan
1786642151.672391,3,camera
1786642151.677204,3,scan
1786642151.720886,2,scan
1786642151.747320,2,camera
1786642151.761695,1,camera
1786642151.766546,3,camera
1786642151.767960,1,scan
1786642151.777500,3,scan
1786642151.820848,2,scan
1786642151.864248,2,camera
1786642151.868876,1,scan
1786642151.871105,1,camera
1786642151.877168,3,scan
1786642151.878477,3,camera
1786642151.920860,2,scan
1786642151.955330,2,camera
1786642151.968900,1,scan
1786642151.969927,1,camera
1786642151.976633,3,camera
1786642151.977567,3,scan
1786642152.021267,2,scan
1786642152.069368,1,scan
1786642152.069484,2,camera
1786642152.074837,1,camera
1786642152.077965,3,scan
1786642152.098077,3,camera
1786642152.121422,2,scan
1786642152.153722,2,camera
1786642152.168623,1,scan
1786642152.177291,1,camera
1786642152.177658,3,scan
1786642152.179755,3,camera
1786642152.221195,2,scan
1786642152.257155,2,camera
1786642152.268534,1,scan
1786642152.277734,3,scan
1786642152.279437,1,camera
1786642152.280815,3,camera
1786642152.320780,2,scan
1786642152.366773,2,camera
1786642152.368496,1,scan
1786642152.370537,1,camera
1786642152.374078,3,camera
1786642152.377544,3,scan
1786642152.420885,2,scan
1786642152.464768,2,camera
1786642152.468819,1,scan
1786642152.477569,3,scan
1786642152.479883,1,camera
1786642152.483407,3,camera
1786642152.520848,2,scan
1786642152.555376,2,camera
1786642152.568639,1,scan
1786642152.569965,1,camera
1786642152.575342,3,camera
1786642152.577561,3,scan
1786642152.620831,2,scan
1786642152.654899,2,camera
1786642152.668876,1,scan
1786642152.669889,1,camera
1786642152.674597,3,camera
1786642152.677579,3,scan
1786642152.720864,2,scan
1786642152.755340,2,camera
1786642152.768472,1,scan
1786642152.774597,3,camera
1786642152.775952,1,camera
1786642152.777621,3,scan
1786642152.820838,2,scan
1786642152.846206,2,camera
1786642152.865540,1,camera
1786642152.868607,1,scan
1786642152.877990,3,scan
1786642152.878336,3,camera
1786642152.920784,2,scan
1786642152.955434,2,camera
1786642152.968418,1,scan
1786642152.970567,1,camera
1786642152.973718,3,camera
1786642152.978266,3,scan
1786642153.021251,2,scan
1786642153.066138,2,camera
1786642153.069849,1,scan
1786642153.074710,1,camera
1786642153.077745,3,scan
1786642153.090338,3,camera
1786642153.121004,2,scan
1786642153.159809,2,camera
1786642153.162604,1,camera
1786642153.168485,1,scan
1786642153.169942,3,camera
1786642153.177236,3,scan
1786642153.220880,2,scan
1786642153.257165,2,camera
1786642153.267698,3,camera
1786642153.268080,1,scan
1786642153.270616,1,camera
1786642153.277325,3,scan
1786642153.320862,2,scan
1786642153.363653,2,camera
1786642153.368396,1,scan
1786642153.377764,3,scan
1786642153.379448,1,camera
1786642153.383344,3,camera
1786642153.420816,2,scan
1786642153.455783,2,camera
1786642153.466701,1,camera
1786642153.468433,1,scan
1786642153.471424,3,camera
1786642153.477639,3,scan
1786642153.520423,2,scan
1786642153.555996,2,camera
1786642153.565385,3,camera
1786642153.568104,1,scan
1786642153.571312,1,camera
1786642153.577243,3,scan
1786642153.620430,2,scan
1786642153.651136,2,camera
1786642153.666923,1,camera
1786642153.668182,1,scan
1786642153.674303,3,camera
1786642153.677453,3,scan
1786642153.720940,2,scan
1786642153.751167,2,camera
1786642153.768280,1,scan
1786642153.772397,1,camera
1786642153.777555,3,scan
1786642153.782256,3,camera
1786642153.820591,2,scan
1786642153.855705,2,camera
1786642153.868430,1,scan
1786642153.873208,1,camera
1786642153.877850,3,scan
1786642153.878285,3,camera
1786642153.920731,2,scan
1786642153.951962,2,camera
1786642153.963309,1,camera
1786642153.967758,3,camera
1786642153.968226,1,scan
1786642153.977496,3,scan
1786642154.021853,2,scan
1786642154.068955,1,scan
1786642154.077892,3,scan
1786642154.079176,2,camera
1786642154.099201,1,camera
1786642154.109593,3,camera
1786642154.120949,2,scan
1786642154.147321,2,camera
1786642154.163928,1,camera
1786642154.167631,3,camera
1786642154.168142,1,scan
1786642154.177214,3,scan
1786642154.220750,2,scan
1786642154.247299,2,camera
1786642154.268576,1,scan
1786642154.276058,1,camera
1786642154.276227,3,camera
1786642154.277613,3,scan
1786642154.320821,2,scan
1786642154.355655,2,camera
1786642154.368416,1,scan
1786642154.372771,1,camera
1786642154.377527,3,scan
1786642154.393505,3,camera
1786642154.420815,2,scan
1786642154.454998,2,camera
1786642154.468401,1,scan
1786642154.469989,1,camera
1786642154.478202,3,scan
1786642154.483618,3,camera
1786642154.520848,2,scan
1786642154.555083,2,camera
1786642154.568375,1,scan
1786642154.573385,1,camera
1786642154.577402,3,scan
1786642154.577422,3,camera
1786642154.620841,2,scan
1786642154.655467,2,camera
1786642154.668570,1,scan
1786642154.671619,1,camera
